ID,Year,Month,Region,Exp Vol YTD (0000 parcels),Exp Revenue YTD (RMB '0000),Exp Vol (0000 parcels),Exp Revenue (RMB '0000)
2013/03,2013,3,Gansu,322.9,8229.1,137.2,3287.9
2013/03,2013,3,Guangdong,37404.5,641277.1,15071.1,251652.8
2013/03,2013,3,Guangxi,1298.4,22953.7,531.5,8828.4
2013/03,2013,3,Guizhou,658.2,12446.5,295.6,4561.5
2013/03,2013,3,Hainan,338.4,6439,130.5,2350.9
2013/03,2013,3,Hebei,3831,57629.4,1561.2,21807.6
2013/03,2013,3,Heilongjiang,1198.3,20362,437.5,7861.9
2013/03,2013,3,Henan,3506.5,51038.7,1456.6,20621.7
2013/03,2013,3,Hubei,5096.8,63405,2020.2,22049.7
2013/03,2013,3,Hunan,2953,40292,1240.6,16250.3
2013/03,2013,3,Inner Mongolia,623.3,15848.3,240,5425.5
2013/03,2013,3,Jiangsu,17943.2,269884,7419.4,104176.2
2013/03,2013,3,Jiangxi,1638.4,24882.5,670.3,9786.2
2013/03,2013,3,Jilin Province,953.2,18616.6,371.3,6900.6
2013/03,2013,3,Liaoning,2304.5,46295.8,861.6,17187.6
2013/03,2013,3,Ningxia,188.6,8208.4,71.1,1636.2
2013/03,2013,3,Qinghai,76.5,2385.2,28.6,790
2013/03,2013,3,Shaanxi,1937.4,27304.7,761.7,10917.9
2013/03,2013,3,Shandong,6042.3,117177.1,2397,44866.9
2013/03,2013,3,Shanghai,18356.4,494743.5,6520.7,179311.7
2013/03,2013,3,Shanxi,2112.4,14072.8,671.8,5376.5
2013/03,2013,3,Sichuan,4071.3,61777,1519,22150.1
2013/03,2013,3,Tianjin,1698,36892.2,683.2,14020.7
2013/03,2013,3,Tibet,70.2,2827.4,27.1,864.8
2013/03,2013,3,Xinjiang,1081.2,16461.3,426.5,5902.4
2013/03,2013,3,Yunnan,1280.4,24623.7,513.8,8344.9
2013/03,2013,3,Zhejiang,23151.4,322335.9,9100,123360.1
2013/04,2013,4,Anhui,3596.9,53194,981.8,14719.2
2013/04,2013,4,Beijing,24697.2,291946.7,6301.5,74401.3
2013/04,2013,4,Chongqing Province,2806.5,38638.8,701.6,10049.1
2013/04,2013,4,Fujian,11488,175922.8,3305.6,47818.3
2013/04,2013,4,Gansu,463.1,11268.8,140.2,3039.7
2013/04,2013,4,Guangdong,52294.4,893446.6,14889.9,252169.5
2013/04,2013,4,Guangxi,1826,31583.7,527.6,8630
2013/04,2013,4,Guizhou,892.4,16680.8,234.2,4234.3
2013/04,2013,4,Hainan,519.1,8628.9,180.7,2189.9
2013/04,2013,4,Hebei,5311.2,78285.4,1480.2,20656
2013/04,2013,4,Heilongjiang,1620.2,27730.9,421.9,7368.9
2013/04,2013,4,Henan,4985.5,71988,1479,20949.3
2013/04,2013,4,Hubei,6701,84213.8,1604.2,20808.8
2013/04,2013,4,Hunan,4073.2,55257.4,1120.2,14965.4
2013/04,2013,4,Inner Mongolia,858.8,20674.9,235.5,4826.6
2013/04,2013,4,Jiangsu,25218.1,381220.6,7274.9,111336.6
2013/04,2013,4,Jiangxi,2320.4,34729.9,682,9847.4
2013/04,2013,4,Jilin Province,1327.2,25263.9,374,6647.3
2013/04,2013,4,Liaoning,3136.7,63459.4,832.2,17163.6
2013/04,2013,4,Ningxia,269.9,9831.5,81.3,1623.1
2013/04,2013,4,Qinghai,110.4,3207.3,33.9,822.1
2013/04,2013,4,Shaanxi,2716.8,37838.2,779.4,10533.5
2013/04,2013,4,Shandong,8379.3,160735.7,2337,43558.6
2013/04,2013,4,Shanghai,25205.5,688605.4,6849.1,193861.9
2013/04,2013,4,Shanxi,2768,19183.1,655.6,5110.3
2013/04,2013,4,Sichuan,5675.2,86559.7,1603.9,24782.7
